smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
O=[N+]([O-])c1cncc2ccc(O)nc12	1565503721	FUKRNJABLHIDHG-UHFFFAOYSA-N	191.146	1.244	5	30	ADBC	
CCCCC(=O)OCC[N+](C)(C)C	1569575	NDWNNGOMAATBHL-UHFFFAOYSA-N	188.291	1.426	5	30	ADBC	
Cc1cc([N+](=O)[O-])ccc1NC(=N)N	21986932	STXXMCQQEVOHHE-UHFFFAOYSA-N	194.194	1.209	5	30	ADBC	in-vitro
O=[N+]([O-])[C@@H]1C[C@@H]2C=C[C@H]1CC2	4683078	QPTQFVXHLZJUIK-GJMOJQLCSA-N	153.181	1.618	5	30	ADBC	
CC(=O)Nc1sncc1[N+](=O)[O-]	38434549	XAIQJNBBVILKCH-UHFFFAOYSA-N	187.180	1.010	5	30	ADBC	
O=[N+]([O-])c1ccc2ncncc2c1	32220211	RPTKRGHYKSBDJL-UHFFFAOYSA-N	175.147	1.538	5	30	ADBC	
O=Cc1cscc1[N+](=O)[O-]	39063166	KBCAIPIBEOQNDJ-UHFFFAOYSA-N	157.150	1.469	5	30	ADBC	
Cc1cc(N)c([N+](=O)[O-])c(C)c1N	95670458	NXFZKAWSZHWLSZ-UHFFFAOYSA-N	181.195	1.376	5	30	ADBC	
CCOc1ccc([N+](=O)[O-])nc1	71623935	IXVHPVKSEBHJDB-UHFFFAOYSA-N	168.152	1.389	5	30	ADBC	
C[S@@](=O)Cc1ccc([N+](=O)[O-])cc1	34534804	XJQGAIWLCGGJBP-ZDUSSCGKSA-N	199.231	1.473	5	30	ADBC	
O=c1[nH]ccc2cccc([N+](=O)[O-])c12	82767312	DKSDBIADEHKAKZ-UHFFFAOYSA-N	190.158	1.436	5	30	ADBC	
CN(C)[C@@H](c1ccccc1)[N+](=O)[O-]	33610874	NJACXLNZLIIPJQ-SECBINFHSA-N	180.207	1.524	5	30	ADBC	
Nc1cnc2ccccc2c1[N+](=O)[O-]	39648837	GXZGVMWJYIYFPU-UHFFFAOYSA-N	189.174	1.725	5	30	ADBC	
