smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CCCCNc1c([N+](=O)[O-])cnn1C	891405459	CVCSEIYRDBGJHW-UHFFFAOYSA-N	198.226	1.540	5	20	ADBD	
C[C@@H]1CN(CC[N+](=O)[O-])[C@H](C)[C@H]1C	930744747	SESZAZJWBKNFDB-HRDYMLBCSA-N	186.255	1.239	5	20	ADBD	
C[C@H](CNCc1ccccc1)[N+](=O)[O-]	34588076	YTXQANBFKJBYMV-SECBINFHSA-N	194.234	1.441	5	20	ADBD	
CSCn1cc([N+](=O)[O-])c(C)n1	336269773	JVYLGWBBRJCRCR-UHFFFAOYSA-N	187.224	1.420	5	20	ADBD	
CC(C)=CCSCC[N+](=O)[O-]	899883405	LZJJDZBUMBULLA-UHFFFAOYSA-N	175.253	1.963	5	20	ADBD	
CSCCn1ccc([N+](=O)[O-])n1	308173240	XUDVMXNDDUVKHC-UHFFFAOYSA-N	187.224	1.154	5	20	ADBD	
CCCN(CC[N+](=O)[O-])C(C)C	930885282	MTBJCHVNCZWYCH-UHFFFAOYSA-N	174.244	1.384	5	20	ADBD	
CNc1c([N+](=O)[O-])ccnc1Cl	2383301994	INBBLNGFEFPPEH-UHFFFAOYSA-N	187.586	1.685	5	20	ADBD	
Nc1c(OC2CC2)ccnc1[N+](=O)[O-]	95735945	RKVSDQPHGZNOCW-UHFFFAOYSA-N	195.178	1.113	5	20	ADBD	
C[C@@H]1CCCN(CC[N+](=O)[O-])[C@@H]1C	929702615	IXACAOXGDGUNSD-RKDXNWHRSA-N	186.255	1.384	5	20	ADBD	
Nc1c([N+](=O)[O-])ccc2n[nH]cc12	2386351185	MGVDHAWRTOKVPM-UHFFFAOYSA-N	178.151	1.053	5	20	ADBD	
CN(CC[N+](=O)[O-])C(C1CC1)C1CC1	791053656	VFWCJLOIKTVORE-UHFFFAOYSA-N	198.266	1.384	5	20	ADBD	
NCCc1ccc([N+](=O)[O-])s1	21951039	UFHRIVHCKJIQKH-UHFFFAOYSA-N	172.209	1.158	5	20	ADBD	
CC(C)COCn1ccnc1[N+](=O)[O-]	918387293	NWFPEVPQTQDBAY-UHFFFAOYSA-N	199.210	1.421	5	20	ADBD	
Nc1c([N+](=O)[O-])cnn1CC1CCC1	87584678	UXAXFAGMSIXABE-UHFFFAOYSA-N	196.210	1.174	5	20	ADBD	
CCNc1ccnc(O)c1[N+](=O)[O-]	575501050	WYAHRKWVRIFWBP-UHFFFAOYSA-N	183.167	1.127	5	20	ADBD	
O=[N+]([O-])CCN[C@H]1CCC[C@@H]2C[C@H]12	930704838	NXHFCPFXRYDWOD-VGMNWLOBSA-N	184.239	1.041	5	20	ADBD	
O=[N+]([O-])c1c(O)cncc1Cl	212598948	RIMRMAMFLGCHHO-UHFFFAOYSA-N	174.543	1.349	5	20	ADBD	
C[C@@H]1CC[C@H](CNCC[N+](=O)[O-])C1	905250434	YYAJDNWFIHIVSW-BDAKNGLRSA-N	186.255	1.289	5	20	ADBD	
O=[N+]([O-])CCN1CCC[C@@H](C2CC2)C1	930499577	XFZQGWQPLRHNIN-SNVBAGLBSA-N	198.266	1.385	5	20	ADBD	
CCc1nnc2ccc([N+](=O)[O-])cn12	149281645	VKHSUPPZNDOJHY-UHFFFAOYSA-N	192.178	1.200	5	20	ADBD	
C[C@H](C1CC1)N(CC[N+](=O)[O-])C1CC1	929274753	KWYRSPTUTJDQSL-MRVPVSSYSA-N	198.266	1.526	5	20	ADBD	
CC1(C)CCCN(CC[N+](=O)[O-])C1	929633326	VIGAFPQDEWPPAN-UHFFFAOYSA-N	186.255	1.385	5	20	ADBD	
NC[C@@H]1C[C@H]1c1ccccc1[N+](=O)[O-]	54561905	XLZIYNIEBCNIOE-IONNQARKSA-N	192.218	1.657	5	20	ADBD	
